Id,Name,Year,Genre,DirectedBy,StoryBy,MusicBy,Company
movie-0,$50K and a Call Girl: A Love Story,2014,Drama,Seth Grossman,Seth Grossman,Peter Bateman,FilmBuff
movie-1,'71,2014,Action,Yann Demange,Gregory Burke,David Holmes,Ad Vitam Distribution
movie-2,'A' gai wak,1983,Action,Jackie Chan,Jackie Chan,Siu-Tin Lai,Metropolitan Filmexport
movie-3,'A' gai wak 2,1987,Action,Jackie Chan,Jackie Chan,Siu-Tin Lai,Highlight Film
movie-4,"'Allo 'Allo!",1982,Comedy,David Croft,David Croft,David Croft,British Broadcasting Corporation (BBC)
movie-6,'G' Men,1935,Crime,William Keighley,Seton I. Miller,Bernhard Kaun,Warner Bros.
movie-7,'I Know Where I'm Going!',1945,Drama,Michael Powell,Michael Powell,Allan Gray,Eagle-Lion Distributors Limited
movie-8,'Round Midnight,1986,Drama,Bertrand Tavernier,David Rayfiel,Herbie Hancock,Warner Bros. Entertainment
movie-9,'Twas the Night Before Christmas,1974,Animation,Jules Bass,Clement Moore,Maury Laws,Columbia Broadcasting System (CBS)
movie-12,*batteries not included,1987,Comedy,Matthew Robbins,Mick Garris,James Horner,Universal Pictures
movie-13,...E tu vivrai nel terrore! L'aldil?,1981,Horror,Lucio Fulci,Dardano Sacchetti,Fabio Frizzi,Alemannia/Arabella Filmverleih GmbH
movie-14,...altrimenti ci arrabbiamo!,1974,Action,Marcello Fondato,Vicente Coello,Guido De Angelis,Filmayer
movie-15,..And Justice for All,1979,Crime,Norman Jewison,Valerie Curtin,Dave Grusin,Columbia Pictures
movie-17,1 - Nenokkadine,2014,Action,Sukumar,Jakka Hariprasad,Devi Sri Prasad,Eros International
movie-18,1 - Nenokkadine,2014,Action,Sukumar,Jakka Hariprasad,Devi Sri Prasad,Eros International
movie-21,10 Items or Less,2006,Comedy,Brad Silberling,Brad Silberling,Antonio Pinto,Click Star
movie-22,10 Rillington Place,1971,Biography,Richard Fleischer,Clive Exton,John Dankworth,Columbia Pictures Corporation
