Id,Name,Year,Genre,DirectedBy,ProducedBy,Music,StoryBy,Company
movie-0,"$50K and a Call Girl: A Love Story",2014,Drama,Seth Grossman,Adam Beamer,Peter Bateman,Seth Grossman,FilmBuff
movie-1,"'71",2014,Action,Yann Demange,Leslie Finlay,David Holmes,Gregory Burke,Ad Vitam Distribution
movie-2,"'A' gai wak",1983,Action,Jackie Chan,Raymond Chow,Siu-Tin Lai,Jackie Chan,Metropolitan Filmexport
movie-3,"'A' gai wak 2",1987,Action,Jackie Chan,Raymond Chow,Siu-Tin Lai,Jackie Chan,Highlight Film
movie-4,"'Allo 'Allo!",1982,Comedy,David Croft,David Croft,David Croft,David Croft,British Broadcasting Corporation (BBC)
movie-5,"'G' Men",1935,Crime,William Keighley,Louis F. Edelman,Bernhard Kaun,Seton I. Miller,Warner Bros.
movie-6,"'I Know Where I'm Going!'",1945,Drama,Michael Powell,George R. Busby,Allan Gray,Michael Powell,Eagle-Lion Distributors Limited
movie-7,"'Round Midnight",1986,Drama,Bertrand Tavernier,Irwin Winkler,Herbie Hancock,David Rayfiel,Warner Bros. Entertainment
movie-8,"'Twas the Night Before Christmas",1974,Animation,Jules Bass,Jules Bass,Maury Laws,Clement Moore,Columbia Broadcasting System (CBS)
movie-9,"'night, Mother",1986,Drama,Tom Moore,Dann Byck,David Shire,Marsha Norman,Universal Pictures
movie-10,"*batteries not included",1987,Comedy,Matthew Robbins,Kathleen Kennedy,James Horner,Mick Garris,Universal Pictures
movie-11,"...E tu vivrai nel terrore! L'aldil?",1981,Horror,Lucio Fulci,Fabrizio De Angelis,Fabio Frizzi,Dardano Sacchetti,Alemannia/Arabella Filmverleih GmbH
movie-12,"...altrimenti ci arrabbiamo!",1974,Action,Marcello Fondato,Mario Cecchi Gori,Guido De Angelis,Vicente Coello,Filmayer
movie-13,"..And Justice for All",1979,Crime,Norman Jewison,Norman Jewison,Dave Grusin,Valerie Curtin,Columbia Pictures
movie-14,"1 - Nenokkadine",2014,Action,Sukumar,Gopichand Achanta,Devi Sri Prasad,Jakka Hariprasad,Eros International
movie-15,"1 - Nenokkadine",2014,Action,Sukumar,Gopichand Achanta,Devi Sri Prasad,Jakka Hariprasad,Eros International
movie-16,"10 Items or Less",2006,Comedy,Brad Silberling,Morgan Freeman,Antonio Pinto,Brad Silberling,Click Star
movie-17,"10 Rillington Place",1971,Biography,Richard Fleischer,Basil Appleby,John Dankworth,Clive Exton,Columbia Pictures Corporation
movie-18,"10 Things I Hate About You",1999,Comedy,Gil Junger,Jeffrey Chernov,Richard Gibbs,Karen McCullah,Buena Vista Pictures
movie-19,"1000 Ways to Die",2008,Comedy,Alex Harvey,Thom Beers,Jonathan Miller,Tom McMahon,Cool TV
movie-20,"101 Reykjav?k",2000,Comedy,Baltasar Korm?kur,Michael P. Aust,Damon Albarn,Hallgr?mur Helgason,101 Limited
movie-21,"10i entoli",2004,Crime,Yannis Lapatas,Panos Kokkinopoulos,Marios Strofalis,Vassilis Risvas,Alpha TV
movie-22,"11'09''01 - September 11",2002,Drama,Youssef Chahine,Alain Brigand,Michael Brook,Youssef Chahine,Bac Films
movie-23,"11:14",2003,Comedy,Greg Marcks,Mark Damon,Clint Mansell,Greg Marcks,MDP Worldwide
movie-24,"Twelve",2010,Action,Joel Schumacher,Michael Bederman,Harry Gregson-Williams,Jordan Melamed,Benelux Film Distributors
movie-25,"12 Angry Men",1957,Crime,Sidney Lumet,Henry Fonda,Kenyon Hopkins,Reginald Rose,United Artists
movie-26,"12 Monkeys",2015,Adventure,David Grossman,Michael Wray,Paul Linford,Travis Fickett,Syfy
movie-27,"Twelve O'Clock High",1949,Action,Henry King,Darryl F. Zanuck,Alfred Newman,Sy Bartlett,Twentieth Century Fox Film Corporation
movie-28,"12 Years a Slave",2013,Biography,Steve McQueen,Dede Gardner,Hans Zimmer,John Ridley,Twentieth Century Fox Film Corporation
movie-29,"12 and Holding",2005,Drama,Michael Cuesta,Brian Bell,Pierre F?ldes,Anthony Cipriano,Alfa Films
movie-30,"12 kokuki",2002,Animation,Tsuneo Kobayashi,Michiyuki Honma,Kunihiko Ryo,Sh? Aikawa,Anime Works
movie-31,"12 stulev",1971,Comedy,Leonid Gayday,<none>,Aleksandr Zatsepin,Ilya Ilf,Artkino Pictures
movie-32,"12 stulev",1971,Comedy,Leonid Gayday,<none>,Aleksandr Zatsepin,Ilya Ilf,Artkino Pictures
movie-33,"120",2008,Drama,?zhan Eren,?zhan Eren,?zhan Eren,?zhan Eren,Cinegraph
movie-34,"127 Hours",2010,Adventure,Danny Boyle,Bernard Bellew,A.R. Rahman,Danny Boyle,Twentieth Century Fox Film Corporation
movie-35,"12:01",1993,Comedy,Jack Sholder,Bob Degus,Peter Rodgers Melnick,Richard Lupoff,Connexion Film
movie-36,"13 Rue Madeleine",1947,Action,Henry Hathaway,Louis De Rochemont,David Buttolph,John Monks Jr,Twentieth Century Fox Film Corporation
movie-37,"13 Tzameti",2005,Crime,G?la Babluani,G?la Babluani,Arnaud Taillefer,G?la Babluani,MK2 Diffusion
movie-38,"13 game sayawng",2006,Comedy,Chookiat Sakveerakul,Prachya Pinkaew,Kitti Kuremanee,Eakasit Thairaat,Cathay-Keris Films
movie-39,"13B: Fear Has a New Address",2009,Drama,Vikram K. Kumar,Mano Akkineni,Shankar Mahadevan,Abhinav Kashyap,Reliance Big Pictures
movie-40,"1408",2007,Horror,Mikael H?fstr?m,Kelly Dennis,Gabriel Yared,Matt Greenberg,Metro-Goldwyn-Mayer (MGM)
movie-41,"1492: Conquest of Paradise",1992,Adventure,Ridley Scott,Rose Bosch,Vangelis,Rose Bosch,Gaumont
movie-42,"16 Blocks",2006,Action,Richard Donner,D.J. Carson,Klaus Badelt,Richard Wenk,Monolith Plus
movie-43,"1776",1972,Drama,Peter H. Hunt,Jack L. Warner,Sherman Edwards,Sherman Edwards,Columbia Pictures
movie-44,"180? South",2010,Documentary,Chris Malloy,Liesl Copland,Isaac Brock,Jeff Johnson,Glassy Co. Ltd.
movie-45,"19-2",2014,Drama,Louis Choquette,Luc Ch?telain,Nicolas Maranda,R?al Boss?,Bravo Network Canada
movie-46,"1942: A Love Story",1994,Romance,Vidhu Vinod Chopra,Vidhu Vinod Chopra,Rahul Dev Burman,Sanjay Leela Bhansali,Digital Entertainment (DEI)
movie-47,"1944",2015,Drama,Elmo N?ganen,Maria Avdjushko,Jaak J?risson,Leo Kunnas,Garsu Pasaulio Irasai
movie-48,"1971",2014,Documentary,Johanna Hamilton,Katy Chevigny,Philip Sheppard,Johanna Hamilton,Yleisradio (YLE)
movie-49,"1983",2014,Family,Abrid Shine,Lal Jose,Gopi Sunder,Abrid Shine,LJ Films
movie-50,"Nineteen Eighty-Four",1984,Drama,Michael Radford,Al Clark,Dominic Muldowney,George Orwell,Atlantic Releasing Corporation
movie-51,"2 Coelhos",2012,Action,Afonso Poyart,Angela Farinello,Andr? Abujamra,Afonso Poyart,Imagem Filmes
movie-52,"2 Days in Paris",2007,Comedy,Julie Delpy,Julie Delpy,Julie Delpy,Julie Delpy,Bir Film
movie-53,"2 Filhos de Francisco: A Hist?ria de Zez? di Camargo & Luciano",2005,Biography,Breno Silveira,Ilana Brakarz,Caetano Veloso,Carolina Kotscho,Columbia TriStar
movie-54,"2 Guns",2013,Action,Baltasar Korm?kur,Brandt Andersen,Clinton Shorter,Blake Masters,Foresight Unlimited
movie-55,"2 States",2014,Comedy,Abhishek Varman,Marijke Desouza,Shankar Mahadevan,Chetan Bhagat,IG Interactive Entertainment
movie-56,"2 Stupid Dogs",1993,Animation,Donovan Cook,Donovan Cook,Chris Desmond,Donovan Cook,Cartoon Network
movie-57,"20,000 Days on Earth",2014,Documentary,Iain Forsyth,Thomas Benski,Nick Cave,Nick Cave,Carlotta Films
movie-58,"20,000 Leagues Under the Sea",1954,Adventure,Richard Fleischer,Walt Disney,Paul J. Smith,Earl Felton,Buena Vista Film Distribution Company
movie-59,"20,000 Years in Sing Sing",1932,Crime,Michael Curtiz,Raymond Griffith,Bernhard Kaun,Lewis E. Lawes,Warner Bros.
movie-60,"2010",1984,Mystery,Peter Hyams,Peter Hyams,David Shire,Arthur C. Clarke,Metro-Goldwyn-Mayer (MGM)
movie-61,"2046",2004,Drama,Kar Wai Wong,Wai-Chung Chan,Shigeru Umebayashi,Kar Wai Wong,Block 2 Pictures
movie-62,"21",2008,Biography,Robert Luketic,William S. Beasley,David Sardy,Peter Steinfeld,Buena Vista Sony Pictures Releasing (BVSPR)
movie-63,"21 Grams",2003,Crime,Alejandro Gonz?lez I??rritu,Guillermo Arriaga,Gustavo Santaolalla,Guillermo Arriaga,Focus Features
movie-64,"21 Jump Street",2012,Action,Phil Lord,Stephen J. Cannell,Mark Mothersbaugh,Michael Bacall,AcmeFilm
movie-65,"22 Female Kottayam",2012,Crime,Aashiq Abu,O.G. Sunil,Bijibal,Abhilash Kumar,FILM Brewery
movie-66,"22 Jump Street",2014,Action,Phil Lord,Will Allegra,Mark Mothersbaugh,Michael Bacall,Big Picture 2 Films
movie-67,"Number 23, The",2007,Drama,Joel Schumacher,Richard Brener,Harry Gregson-Williams,Fernley Phillips,New Line Cinema
movie-68,"24",2001,Action,Jon Cassar,Paul Gadd,Sean Callery,Robert Cochran,20th Century Fox Television
movie-69,"24 7: Twenty Four Seven",1997,Comedy,Shane Meadows,George Faber,Boo Hewerdine,Paul Fraser,Finnkino
movie-70,"24: Live Another Day",2014,Action,Jon Cassar,Jon Cassar,Sean Callery,Robert Cochran,Fox Network
movie-71,"25th Hour",2002,Crime,Spike Lee,Julia Chasman,Terence Blanchard,David Benioff,Buena Vista Pictures
movie-72,"28 Days Later...",2002,Horror,Danny Boyle,Robert How,John Murphy,Alex Garland,Twentieth Century Fox Film Corporation
movie-73,"28 Weeks Later",2007,Horror,Juan Carlos Fresnadillo,Bernard Bellew,John Murphy,Rowan Joffe,Twentieth Century Fox Film Corporation
movie-74,"29th Street",1991,Comedy,George Gallo,Jerry A. Baerwitz,William Olvis,Frank Pesce,Twentieth Century Fox Film Corporation
movie-75,"2:37",2006,Drama,Murali K. Thalluri,Jean Engela,Mark Tschanz,Murali K. Thalluri,Central Film Verleih
movie-76,"2gether",2000,Drama,Nigel Dick,Bill Bannerman,Camara Kambon,Brian Gunn,CITY-TV
movie-77,"Spider-Man 3",2007,Action,Sam Raimi,Avi Arad,Christopher Young,Sam Raimi,Sony Pictures Entertainment (SPE)
movie-78,"3 Deewarein",2003,Crime,Nagesh Kukunoor,Elahe Hiptoola,Salim Merchant,Nagesh Kukunoor,Schr?der Media
movie-79,"3 Godfathers",1948,Drama,John Ford,Merian C. Cooper,Richard Hageman,Laurence Stallings,Metro-Goldwyn-Mayer (MGM)
movie-80,"3 Idiots",2009,Comedy,Rajkumar Hirani,Vidhu Vinod Chopra,Shantanu Moitra,Rajkumar Hirani,Reliance Big Pictures
movie-81,"3 Women",1977,Drama,Robert Altman,Robert Altman,Gerald Busby,Robert Altman,Twentieth Century Fox Film Corporation
movie-82,"30 Days of Night",2007,Horror,David Slade,Ted Adams,Brian Reitzell,Steve Niles,Benelux Film Distributors
movie-83,"30 Rock",2006,Comedy,Don Scardino,Tina Fey,Jeff Richmond,Tina Fey,National Broadcasting Company (NBC)
movie-84,"30 for 30",2009,Documentary,Jonathan Hock,John Dahl,Joel Beckerman,Aaron Cohen,Entertainment & Sports Programming Network (ESPN)
movie-85,"300",2006,Action,Zack Snyder,Steve Barnett,Tyler Bates,Zack Snyder,Warner Bros.
movie-86,"31 minutos",2003,Comedy,Alvaro D?az,Karla Estrada,Pablo Ilabaca,Daniel Castro,Televisi?n Nacional de Chile
movie-87,"35 rhums",2008,Drama,Claire Denis,Karl Baumgartner,Tindersticks,Claire Denis,Cinema Guild
movie-88,"36 Hours",1964,Thriller,George Seaton,William Perlberg,Dimitri Tiomkin,George Seaton,Metro-Goldwyn-Mayer (MGM)
movie-89,"Quai des Orf?vres",1947,Crime,Henri-Georges Clouzot,Roger De Venloo,Francis Lopez,Stanislas-Andr? Steeman,Coronis
